Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 600),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 600),Unit Price (@ Batch Size: 600),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [null],SKU [null],Packaging [null],Unit Price (@ Batch Size: 600) [null],Line Total [null],Batch Total [null],In Stock [null],MOQ [null],URL [null],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,
2, C0805C100J5GAC,Kemet,C0805C100J5GAC,https://octopart.com/c0805c100j5gac-kemet-1343158,"C201, C202",0805,"Capacitor, 10pF, 0805",1200,,C0805C100J5GAC,,,,0.019,,22128,,1,,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D6xvozB%25252b6U8Yo%252f%252frUNWIqFA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C100J5GAC%26utm_term%3DC0805C100J5GAC%26utm_content%3DKemet&ppid=1343158&sig=00e344a&sid=2401&ct=offers,Mouser,C0805C100J5GAC,,0.019,0.038,22.8,22128,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D6xvozB%25252b6U8Yo%252f%252frUNWIqFA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C100J5GAC%26utm_term%3DC0805C100J5GAC%26utm_content%3DKemet&ppid=1343158&sig=00e344a&sid=2401&ct=offers,
14,C0805C104K5RACTU,Kemet,C0805C104K5RACTU,https://octopart.com/c0805c104k5ractu-kemet-143926,"C1, C2, C3, C4, C215, C225, C235, C245, C253, C261, C600, C701, C800, C801",0805,"Capacitor, 0.1uF, 0805",8400,399-1170-2-ND,C0805C104K5RACTU,Tape & Reel,,0.0084,0.008,6316000,1081286,4000,1,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC0805C104K5RACTU%2F399-1170-2-ND%2F411169&ppid=143926&sig=0a38895&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DPc30aiB8zWUISNb2Qeyxfw%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C104K5RACTU%26utm_term%3DC0805C104K5RACTU%26utm_content%3DKemet&ppid=143926&sig=0239eba&sid=2401&ct=offers,Mouser,C0805C104K5RACTU,,0.008,0.112,67.2,1081286,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DPc30aiB8zWUISNb2Qeyxfw%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C104K5RACTU%26utm_term%3DC0805C104K5RACTU%26utm_content%3DKemet&ppid=143926&sig=0239eba&sid=2401&ct=offers,
2, C0805C105K4RACTU,Kemet,C0805C105K4RACTU,https://octopart.com/c0805c105k4ractu-kemet-128914,"C7, C8",0805,"Capacitor, 1.0uF, 0805",1200,399-1284-1-ND,C0805C105K4RACTU,Cut Tape,,0.0222,0.022,1365731,578531,1,1,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC0805C105K4RACTU%2F399-1284-1-ND%2F416060&ppid=128914&sig=0b03621&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DyrVqjCObULOefkidH6lLLQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C105K4RACTU%26utm_term%3DC0805C105K4RACTU%26utm_content%3DKemet&ppid=128914&sig=0c012c6&sid=2401&ct=offers,Mouser,C0805C105K4RACTU,,0.022,0.044,26.4,578531,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DyrVqjCObULOefkidH6lLLQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C105K4RACTU%26utm_term%3DC0805C105K4RACTU%26utm_content%3DKemet&ppid=128914&sig=0c012c6&sid=2401&ct=offers,
1, C0805C225K4RACTU,Kemet,C0805C225K4RACTU,https://octopart.com/c0805c225k4ractu-kemet-137485,C9,0805,"Capacitor, 2.2uF, 0805",600,399-3523-1-ND,C0805C225K4RACTU,Cut Tape,,0.11476,0.114,74606,29925,1,1,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC0805C225K4RACTU%2F399-3523-1-ND%2F789663&ppid=137485&sig=09e516f&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3Dl8FzV8xstEmGdXvo2wZfGw%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C225K4RACTU%26utm_term%3DC0805C225K4RACTU%26utm_content%3DKemet&ppid=137485&sig=0cb82ff&sid=2401&ct=offers,Mouser,C0805C225K4RACTU,,0.114,0.114,68.4,29925,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3Dl8FzV8xstEmGdXvo2wZfGw%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C225K4RACTU%26utm_term%3DC0805C225K4RACTU%26utm_content%3DKemet&ppid=137485&sig=0cb82ff&sid=2401&ct=offers,
1,C0805C475K4PACTU,Kemet,C0805C475K4PACTU,https://octopart.com/c0805c475k4pactu-kemet-9138328,C6,0805,"Capacitor, 4.7uF, 0805",600,399-8101-1-ND,C0805C475K4PACTU,Cut Tape,,0.0531,0.054,222403,17851,1,1,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC0805C475K4PACTU%2F399-8101-1-ND%2F3471824&ppid=9138328&sig=073fd73&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWPBvHkZDyNPvaKar5Me7pQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C475K4PACTU%26utm_term%3DC0805C475K4PACTU%26utm_content%3DKemet&ppid=9138328&sig=0dbfb53&sid=2401&ct=offers,Mouser,C0805C475K4PACTU,,0.054,0.054,32.4,17851,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWPBvHkZDyNPvaKar5Me7pQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C475K4PACTU%26utm_term%3DC0805C475K4PACTU%26utm_content%3DKemet&ppid=9138328&sig=0dbfb53&sid=2401&ct=offers,
1, C0805C106M4PACTU,Kemet,C0805C106M4PACTU,https://octopart.com/c0805c106m4pactu-kemet-12563713,C10,0805,"Capacitor, 10uF, 0805",600,399-8013-1-ND,C0805C106M4PACTU,Cut Tape,,0.0795,0.049,183426,22021,1,1,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC0805C106M4PACTU%2F399-8013-1-ND%2F3471736&ppid=12563713&sig=09c31a1&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DKHg1sw%252fVM5StZkWXuKrj7w%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C106M4PACTU%26utm_term%3DC0805C106M4PACTU%26utm_content%3DKemet&ppid=12563713&sig=07967bb&sid=2401&ct=offers,Mouser,C0805C106M4PACTU,,0.049,0.049,29.400000000000002,22021,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DKHg1sw%252fVM5StZkWXuKrj7w%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C106M4PACTU%26utm_term%3DC0805C106M4PACTU%26utm_content%3DKemet&ppid=12563713&sig=07967bb&sid=2401&ct=offers,
1,C0805C226M9PACTU,Kemet,C0805C226M9PACTU,https://octopart.com/c0805c226m9pactu-kemet-105756,C700,0805,"Capacitor, 22 uF, 0805",600,399-4696-1-ND,C0805C226M9PACTU,Cut Tape,,0.0912,0.092,162242,43557,1,1,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC0805C226M9PACTU%2F399-4696-1-ND%2F992221&ppid=105756&sig=06a9945&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DkHCDrmfBqSBqL0rvXoCXnA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C226M9PACTU%26utm_term%3DC0805C226M9PACTU%26utm_content%3DKemet&ppid=105756&sig=021e41c&sid=2401&ct=offers,Mouser,C0805C226M9PACTU,,0.092,0.092,55.199999999999996,43557,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DkHCDrmfBqSBqL0rvXoCXnA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC0805C226M9PACTU%26utm_term%3DC0805C226M9PACTU%26utm_content%3DKemet&ppid=105756&sig=021e41c&sid=2401&ct=offers,
1,ERJ-6ENF33R0V,Panasonic,ERJ-6ENF33R0V,https://octopart.com/erj-6enf33r0v-panasonic-14401886,R5,0805,"Resistor, 33 ohm, 0805",600,P33.0CCT-ND,ERJ-6ENF33R0V,Cut Tape,,0.0099,0.011,168673,86251,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=00668fe&sid=459&ppid=14401886&vpid=114963844&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D50QC8w71jAtDItwiTe6iYQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF33R0V%26utm_term%3DERJ-6ENF33R0V%26utm_content%3DPanasonic&ppid=14401886&sig=0eacc18&sid=2401&ct=offers,Mouser,ERJ-6ENF33R0V,,0.011,0.011,6.6,86251,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D50QC8w71jAtDItwiTe6iYQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF33R0V%26utm_term%3DERJ-6ENF33R0V%26utm_content%3DPanasonic&ppid=14401886&sig=0eacc18&sid=2401&ct=offers,
4,ERJ-6ENF1000V,Panasonic,ERJ-6ENF1000V,https://octopart.com/erj-6enf1000v-panasonic-55403680,"R2, R10, R12, R201",0805,"Resistor, 100 ohm, 0805",1800,P100CCT-ND,ERJ-6ENF1000V,Cut Tape,,0.00729,0.007,1429407,288757,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=09f577a&sid=459&ppid=55403680&vpid=188062510&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5opkpyunBjW%252fA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1000V%26utm_term%3DERJ-6ENF1000V%26utm_content%3DPanasonic&ppid=55403680&sig=0ad11bd&sid=2401&ct=offers,Area51,ERJ-6ENF1000V,,0.005,0.015,9,37586,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=01cd2e6&sid=13811&ppid=55403680&vpid=189253352&ct=offers,
